NUMBER_05B,ALPHA_J2000_05B,DELTA_J2000_05B
8153,34.50357013461173,-5.524983730468312
8146,34.45097179529258,-5.5249661640026275
8174,34.50541914377506,-5.52493342521637
8216,34.51071470322915,-5.524833456180932
8166,34.522451457699496,-5.52516234107154
8244,34.480625545360496,-5.524822635846468
8305,34.47700359841499,-5.52458455793377
8302,34.49963347926267,-5.524573958431353
8330,34.461190260648536,-5.524510845275741
8360,34.522690003708156,-5.524401354246747
8370,34.53118295769205,-5.524395691750907
8391,34.48770353383797,-5.524320875889501
8395,34.54273722619712,-5.52431325988168
8410,34.4769511282953,-5.524227174192842
8482,34.512930259021616,-5.524010644454144
8489,34.512297699055495,-5.523967931096972
8493,34.52307378753837,-5.523959190086507
8528,34.48046714459349,-5.5238232697293865
8542,34.45930118227669,-5.523745009240298
8561,34.533742115731464,-5.523718314675286
8634,34.47898430619389,-5.523505342110076
8650,34.55532474452672,-5.523444012004831
8657,34.48214050879752,-5.523409641677367
8669,34.5104541862828,-5.52605872974585
8702,34.53678453365232,-5.52325887296992
8715,34.552465586212406,-5.523203446361274
8754,34.46725433558158,-5.523125275414969
8816,34.451230704372584,-5.522927288601471
8866,34.529191909895545,-5.522744977033922
8873,34.472924301508364,-5.52275030714773
8881,34.46732285033064,-5.52275861395998
8883,34.468021387860304,-5.522727846132451
8897,34.49191685339914,-5.522692878667421
8903,34.536710382442884,-5.522692945367553
8940,34.546210601213545,-5.522604921413523
9069,34.54677100254385,-5.522248757400871
9084,34.55211498669718,-5.52223243930949
9108,34.474945245672004,-5.522100140128961
9165,34.54989399504863,-5.521866146491133
9185,34.5331903156727,-5.521866131282842
9280,34.51656683351976,-5.521532380529386
9291,34.48004236382737,-5.521483064844416
9305,34.52570007447862,-5.521443715528835
9327,34.48528370453826,-5.5213476236398105
9344,34.51003253858604,-5.524464323395017
9398,34.538408838595615,-5.521118636930862
9412,34.49296248531114,-5.521115136430235
9411,34.4750518243594,-5.521095016250431
9434,34.52225220227835,-5.520973543392199
9443,34.55605148355186,-5.520983313714362
9499,34.453405240906164,-5.520779961036242
9513,34.50730793368585,-5.520681532864487
9534,34.559423311100886,-5.5206391756630095
9536,34.47895982417356,-5.5206384737406875
9545,34.497826213641765,-5.520628594646674
9569,34.49298973416387,-5.5205381663943855
9573,34.4557184831145,-5.5205472711583585
9590,34.53343131137537,-5.520519186698633
9622,34.45066826118945,-5.520412828116659
9670,34.500825058751424,-5.520699491473178
9721,34.51700670882358,-5.520019528631726
9728,34.48524534557861,-5.520024020134799
9740,34.520814523595405,-5.519962755898778
9816,34.50633908463133,-5.519716528304121
9826,34.48075620876986,-5.519704355241825
9832,34.55379185508563,-5.5196236984582345
9851,34.47514140738072,-5.519593705033348
9910,34.54738023503864,-5.519388209061639
9925,34.519563183488295,-5.519360865855562
9944,34.47383175240715,-5.519299226238703
10000,34.50685652178554,-5.519083660316076
10015,34.5514037177001,-5.5190571739200305
10045,34.46531081222049,-5.518945651398715
10139,34.464154131595365,-5.518670410037627
10167,34.51889039302705,-5.5186112378232846
10179,34.48790427865505,-5.51855787063093
10173,34.4607559787749,-5.518567746597453
10207,34.473549623697856,-5.518456514663045
10243,34.55716608691477,-5.5183273715528784
10272,34.46989180485888,-5.518275888221507
10299,34.46687747212276,-5.518241188686342
10322,34.51401676440147,-5.518125320802697
10328,34.545814743736756,-5.518077475222756
10329,34.52776025932688,-5.518062211700442
10337,34.51329957922633,-5.51806358017685
10346,34.45363982348519,-5.518056532934028
10374,34.461478086604686,-5.51796010107174
10478,34.45707010667424,-5.517677196011381
10482,34.48366443319273,-5.5176843948982395
10490,34.48792404758187,-5.517635472378774
10524,34.498032944626424,-5.517567537513631
10404,34.53990965153108,-5.520630783398028
10545,34.55438227278618,-5.517517132573014
10546,34.5428961633347,-5.517517041987649
10557,34.48973002958982,-5.517474182401538
10577,34.48432824884559,-5.517456871788021
10599,34.5466590130345,-5.517402743166237
10603,34.56526797955168,-5.517365390706999
10648,34.562657286981164,-5.517216933228885
10689,34.567635322289235,-5.517118506154644
10675,34.54844378600893,-5.51721304223259
10736,34.50366229246664,-5.516983557343461
10816,34.52300936718131,-5.5167285566809525
10834,34.46950458249091,-5.51667039686188
10858,34.45614112517991,-5.516602707196538
10875,34.54191932221506,-5.516529347687953
10895,34.523550492141084,-5.516425289672522
10918,34.515749243599544,-5.516367849642435
10915,34.551784354235735,-5.516359877410955
10976,34.53077076117129,-5.516176334257732
10998,34.50020465783962,-5.51614866287684
11025,34.54290958987443,-5.516077971003936
11033,34.468480064861126,-5.516031300002857
11058,34.52284871208723,-5.515955094825544
11051,34.48095106615779,-5.51594790205069
11075,34.56260812560285,-5.515918248963374
11124,34.569036551115964,-5.515776630272681
11126,34.50391581971001,-5.515765047348647
11173,34.550448680158425,-5.515604527131088
11263,34.53886807433757,-5.515366601073377
11334,34.45524205031481,-5.515136471504469
11364,34.513699921895615,-5.5150484127200885
11437,34.46223421651612,-5.514827636881068
11455,34.52905267732997,-5.514787740451288
11492,34.45886070188061,-5.514738538671787
11529,34.56330102289532,-5.514582083519481
11532,34.52604696119852,-5.514574645990552
11545,34.500052143051114,-5.514503492722861
11548,34.53819281282199,-5.5144903761865995
11563,34.507351949065956,-5.514466758674415
11567,34.56709258297228,-5.51443439614935
11584,34.540869960055765,-5.51439654018916
11607,34.565711990093774,-5.514296489010933
11660,34.48397181999663,-5.51412737817647
11695,34.48518766105713,-5.514062290733737
11734,34.48642511949706,-5.513929083870197
11725,34.534775704739474,-5.513937049918659
11783,34.55417351307911,-5.5138328117656865
11824,34.4659375747584,-5.513709909248828
11838,34.454562700245944,-5.513693114716505
11848,34.479816047460076,-5.51361361212167
11851,34.53203408843405,-5.5160020962616905
11882,34.545494322743,-5.513488672352524
11922,34.56291550264992,-5.513363306393934
11950,34.53632936468896,-5.513319915159859
11959,34.54623656901576,-5.513268721028424
11971,34.53169825820789,-5.513245170519848
11968,34.5193519644714,-5.513227643590661
11974,34.556005063705186,-5.51320885857849
11980,34.48312388015375,-5.513191372353596
11999,34.569570180244135,-5.513152541554104
11993,34.461905850990284,-5.513163156680943
11995,34.51144570704092,-5.513144809021889
12040,34.543617295379214,-5.513061702362994
12034,34.495773892971236,-5.513069000080542
12054,34.57495805363571,-5.513003261764986
12064,34.54485592699775,-5.5129674031742315
12084,34.51801972451827,-5.512911604565757
12092,34.52334555093049,-5.5128972885062995
12133,34.50172956094139,-5.512772259024615
12204,34.540267253227846,-5.512564678425976
12239,34.55776192752861,-5.512467455345677
12232,34.535739268273794,-5.512504229359703
12247,34.524907743282476,-5.512451995051949
12251,34.55365650799071,-5.512453844432521
12289,34.483378730593465,-5.512331052899067
12242,34.57250640365983,-5.5140337375130635
12354,34.47597054856204,-5.512208792683932
12340,34.45101991624469,-5.513361822651073
12418,34.489434262222375,-5.512012005119233
12428,34.52128373721952,-5.511978788203075
12446,34.555875232567224,-5.511873261194236
12453,34.54768601170296,-5.511886558139171
12479,34.49462380362549,-5.511811373489909
12485,34.53872230048248,-5.511789551016255
12477,34.45704112506704,-5.512601515390899
12505,34.45604839941315,-5.511761062328605
12540,34.45049497958723,-5.511634273344594
12545,34.568146566121854,-5.511605470232779
12555,34.52857391898764,-5.511588212156695
12583,34.49100713795645,-5.51147466109026
12600,34.52257885911724,-5.511419315607385
12633,34.56093173983352,-5.511329054516886
12746,34.50588168296319,-5.510960440201309
12739,34.49260127392945,-5.512097440678631
12780,34.50929932359374,-5.510836169462757
12827,34.57969161682591,-5.510694384869908
12826,34.52580237455177,-5.511054294500432
12896,34.46703219809288,-5.510522658348439
12923,34.48826078003022,-5.51041525795491
12928,34.50430812147889,-5.510387383325913
12906,34.53330039551163,-5.5116391123591
12954,34.50242255538169,-5.510345306194887
13005,34.528623241080055,-5.510190003067691
13013,34.52447766789763,-5.5101568885637064
13032,34.497671575841906,-5.510089552063765
13080,34.5728929812286,-5.509935879729123
13056,34.55747323730728,-5.510458723337627
13108,34.51763665663275,-5.509827641752285
13131,34.51462895005843,-5.509756314606234
13153,34.57633312506297,-5.509675000916959
13155,34.49705308028136,-5.509655294598561
13202,34.54344798491122,-5.509533010622716
13221,34.48568245303748,-5.509491129452823
13223,34.55834126444652,-5.509455895294687
13231,34.575613230502306,-5.509408939681451
13233,34.51296959052659,-5.509435100902749
13230,34.490800208478184,-5.509418957597045
13259,34.57635125679796,-5.509337675716526
13294,34.4592661894131,-5.509241473927282
13349,34.48722122703634,-5.509092321963262
13374,34.53526616706279,-5.5090308459903605
13387,34.481195163498946,-5.508964676964013
13399,34.55306140340728,-5.508924172505931
13424,34.50666392009503,-5.508850928535103
13468,34.505241728368915,-5.508657581662081
13496,34.454231247770636,-5.508594130338609
13536,34.524323702315876,-5.508412750482298
13538,34.51117734547826,-5.508444422137095
13544,34.58293991404379,-5.508392029334628
13603,34.476007382053645,-5.508272343094206
13599,34.540484427444405,-5.508279804215799
13666,34.48096619928391,-5.508061677274386
13680,34.555375615060285,-5.508025745240079
13711,34.52774104296,-5.507917502324761
13712,34.58057077924962,-5.507900842192725
13713,34.553735136373156,-5.507886897876522
13721,34.57180272336431,-5.507892773669262
13727,34.528407856218706,-5.50785891842354
13779,34.54471078654488,-5.507758646246285
13783,34.583855640744204,-5.507759794279674
13815,34.50962652956372,-5.507604236739012
13836,34.527054253208206,-5.507542011420167
13844,34.48718485872345,-5.507500420843703
13845,34.453397455513,-5.507494953071825
13891,34.548212716541116,-5.507334762109483
13897,34.545583645549485,-5.507300543046227
13899,34.49977503915135,-5.5073012805459856
13963,34.50536268386483,-5.507155280244176
13968,34.48342848623604,-5.507129379856198
14051,34.496385662911635,-5.5092020836808855
13981,34.454558506929885,-5.507075890501926
14043,34.510518418697465,-5.506921088275549
14072,34.46441369166363,-5.506824825238444
14084,34.53751422776695,-5.506801132670091
14091,34.585967790188946,-5.5067298514362895
14112,34.480352654074586,-5.506718920474692
14191,34.469446632417394,-5.506478058806003
14196,34.52157766412923,-5.5064472605480645
14208,34.56666541361374,-5.50642069459412
14197,34.49533127939482,-5.507559371279192
14229,34.46040868996999,-5.506325883145192
14237,34.51032499399725,-5.506287265088789
14243,34.48929400855664,-5.5062940800304725
14274,34.45257355137393,-5.506184407974259
14284,34.51763634700605,-5.50614731116981
14335,34.4856934105213,-5.505979648297206
14340,34.57922551047722,-5.505957778319885
14390,34.5665743855152,-5.505843030929503
14402,34.47550274312024,-5.505810727853753
14414,34.463602618144336,-5.505772047916473
14425,34.47385256657343,-5.5057476864481165
14435,34.51242509002751,-5.505723958666009
14569,34.524533184240205,-5.505241105195546
14583,34.54723952547915,-5.505235430539735
14608,34.47949508238937,-5.505114090251998
14614,34.57573277057141,-5.5050929879134
14656,34.52081083500161,-5.504963206212827
14658,34.50719161366464,-5.504946136557457
14694,34.53738558898518,-5.504874814352446
14711,34.534070921206016,-5.504795141978136
14677,34.45904112000213,-5.505611041501635
